Short Title,Publication Date,Parent Volume,Original File Name,Full Title,Page Range (original),Page Range (PDF) (1),Excerpt Type,Section / Event Date,Chapter(s),Source Type,Citation Status,Tags,Notes & Description,File Upload,Publication,Title,Author,Case studies
Initial Implementation of Poetry Collection (1852),11/15/1852,1852-3_CLHAF_T1 (../Volumes%20(Primary%20Source%20Containers)%201eea8fa33dc580f98e0ec5a2126a3d51/1852-3_CLHAF_T1%201eea8fa33dc5809e84c6c1323814202b.md),Bulletin_CLHAF_1852-1853_TomePremier.pdf,,21-27,"31-37
",,,Chapter 1  (Chapter%201%201eea8fa33dc5806cb2dce30b2520afe2.md),Committee Minutes (government administrative document),,,"Minutes from the first meeting of the Philology Section of the committee charged with implementing the popular poetry collection decree. Records early submissions received, committee discussions about what constitutes ""popular poetry,"" and the formation of a three-person commission (Ampère, Paris, Magnin) to draft detailed instructions for contributors to the project.",,"Bulletin du Comité de la Langue, de l'Histoire et des Arts de la France, Tome Premier, 1852-1853, pp. 21-27","""Séance du 15 novembre 1852"" - Section Philologie meeting minutes",,
Classification System for Popular Poetry (1852),12/13/1852,1852-3_CLHAF_T1 (../Volumes%20(Primary%20Source%20Containers)%201eea8fa33dc580f98e0ec5a2126a3d51/1852-3_CLHAF_T1%201eea8fa33dc5809e84c6c1323814202b.md),Bulletin_CLHAF_1852-1853_TomePremier.pdf,,48-51,"58-61
",,,Chapter 1  (Chapter%201%201eea8fa33dc5806cb2dce30b2520afe2.md),Committee Minutes (government administrative document),,,"Minutes from the second committee meeting, where Ampère presents the commission's progress on classification criteria for the popular poetry collection. The committee decides to replace the term ""ballade"" with ""romance narrative"" and to include example fragments with their instructions. Crucially, they resolve to organize the collection in three sections: poems in French, poems in regional patois/dialects, and poems in foreign languages from regions now part of France.",,"Bulletin du Comité de la Langue, de l'Histoire et des Arts de la France, Tome Premier, 1852-1853, pp. 48-51","""Séance du 13 décembre 1852"" - Section Philologie meeting minutes",,
Oral vs. Written Popular Poetry Division (1853),02/14/1853,1852-3_CLHAF_T1 (../Volumes%20(Primary%20Source%20Containers)%201eea8fa33dc580f98e0ec5a2126a3d51/1852-3_CLHAF_T1%201eea8fa33dc5809e84c6c1323814202b.md),Bulletin_CLHAF_1852-1853_TomePremier.pdf,,96-100,"106-110
",,,Chapter 1  (Chapter%201%201eea8fa33dc5806cb2dce30b2520afe2.md),Committee Minutes (government administrative document),,,"Minutes recording the committee's decision to include Corsican poetry in the collection and their establishment of a two-category organizational system: oral traditions (poems transmitted by singing or verbal recitation) versus written traditions (poems found in manuscripts). The document also catalogs numerous new submissions from regional contributors offering Breton, Basque, Provençal, and other local poetry collections.",,"Bulletin du Comité de la Langue, de l'Histoire et des Arts de la France, Tome Premier, 1852-1853, pp. 96-100","""Séance du 14 février 1853"" - Section Philologie meeting minutes",,
Medieval Popular Poetry Categories (1853),04/11/1853,1852-3_CLHAF_T1 (../Volumes%20(Primary%20Source%20Containers)%201eea8fa33dc580f98e0ec5a2126a3d51/1852-3_CLHAF_T1%201eea8fa33dc5809e84c6c1323814202b.md),Bulletin_CLHAF_1852-1853_TomePremier.pdf,,180-183,"194-197
",,,Chapter 1  (Chapter%201%201eea8fa33dc5806cb2dce30b2520afe2.md),Committee Minutes (government administrative document),,,"Minutes documenting Ampère's presentation of draft instructions for correspondents and Le Clerc's important intervention regarding medieval poetry types. Le Clerc advocates for including verse sermons, saints' lives in verse, moral teachings, profession-specific poems (""dits""), and various other medieval genres. The document also records growing regional participation with submissions from Brittany, Basque country, and Catalonia, including specific requests for musical notation of traditional songs.",,"Bulletin du Comité de la Langue, de l'Histoire et des Arts de la France, Tome Premier, 1852-1853, pp. 180-183","""Séance du 11 avril 1853"" - Section Philologie meeting minutes",,
Official Instructions for Philology Section (1853),01/01/1853,1852-3_CLHAF_T1 (../Volumes%20(Primary%20Source%20Containers)%201eea8fa33dc580f98e0ec5a2126a3d51/1852-3_CLHAF_T1%201eea8fa33dc5809e84c6c1323814202b.md),Bulletin_CLHAF_1852-1853_TomePremier.pdf,,280-281,"296-297
",,,Chapter 1  (Chapter%201%201eea8fa33dc5806cb2dce30b2520afe2.md),Official Guidelines (government administrative document),,,"Formal instructions outlining the mandate and scope of the philology section's work across three domains: history of language, history of literature, and history of philosophy and sciences. The document positions the popular poetry collection project within a broader research agenda and references other major publication projects underway, including editions of medieval texts and philosophical works.",,"Bulletin du Comité de la Langue, de l'Histoire et des Arts de la France, Tome Premier, 1852-1853, pp. 280-281 (partial)","""Instructions du Comité de la Langue, de l'Histoire et des Arts de la France. Section de Philologie""",,
Musical Dimension of Popular Poetry (1853),06/13/1853,1852-3_CLHAF_T1 (../Volumes%20(Primary%20Source%20Containers)%201eea8fa33dc580f98e0ec5a2126a3d51/1852-3_CLHAF_T1%201eea8fa33dc5809e84c6c1323814202b.md),Bulletin_CLHAF_1852-1853_TomePremier.pdf,,346-349,"362-365
",,,Chapter 1  (Chapter%201%201eea8fa33dc5806cb2dce30b2520afe2.md),Committee Minutes (government administrative document),,,"Minutes documenting a significant focus on the musical dimensions of the poetry collection, with correspondent de Coussemaker emphasizing that ""no true popular song exists without melody"" and urging transcription methods that preserve regional tonalities. The document records receipt of specific musical notations such as the ""Jean de la Réoule"" song and details about Basque musical traditions. Ampère also reports on various regional song submissions and outlines plans to finalize the collection instructions.",,"Bulletin du Comité de la Langue, de l'Histoire et des Arts de la France, Tome Premier, 1852-1853, pp. 346-349","""Séance du 13 juin 1853"" - Section Philologie meeting minutes",,
Popular Poetry Definition and Canadian Outreach (1853),07/11/1853,1852-3_CLHAF_T1 (../Volumes%20(Primary%20Source%20Containers)%201eea8fa33dc580f98e0ec5a2126a3d51/1852-3_CLHAF_T1%201eea8fa33dc5809e84c6c1323814202b.md),Bulletin_CLHAF_1852-1853_TomePremier.pdf,,421-423,"439-441
",,,Chapter 1  (Chapter%201%201eea8fa33dc5806cb2dce30b2520afe2.md),Committee Minutes (government administrative document),,,"Minutes recording the committee's clarification about what constitutes appropriate ""popular poetry"" - works ""composed by the people, or that the people have made their own by adopting them."" The document notes access to M. Capelle's collection of Corsican songs and receipt of a Breton song about a young woman's abduction during the Wars of the League. Significantly, the committee expresses interest in collecting French songs preserved in Canada, suggesting specific Quebec contacts for this initiative.",,"Bulletin du Comité de la Langue, de l'Histoire et des Arts de la France, Tome Premier, 1852-1853, pp. 421-423","""Séance du 11 juillet 1853"" - Section Philologie meeting minutes",,
Selection Criteria Refinement and Broader Instructions (1853),07/27/1853,1852-3_CLHAF_T1 (../Volumes%20(Primary%20Source%20Containers)%201eea8fa33dc580f98e0ec5a2126a3d51/1852-3_CLHAF_T1%201eea8fa33dc5809e84c6c1323814202b.md),Bulletin_CLHAF_1852-1853_TomePremier.pdf,,435-437,"453-455
",,,Chapter 1  (Chapter%201%201eea8fa33dc5806cb2dce30b2520afe2.md),Committee Minutes (government administrative document),,,"Minutes from a special meeting showing the committee's continued refinement of selection criteria, rejecting most politically-oriented songs (about the Duke of Guise, Madame de Pompadour, etc.) and those of recent origin (a 1805 military song). The document also records discussion about developing more comprehensive instructions for correspondents covering all three domains of the philology section's work: language history, literary history, and history of philosophy and sciences.",,"Bulletin du Comité de la Langue, de l'Histoire et des Arts de la France, Tome Premier, 1852-1853, pp. 435-437","""Séance extraordinaire du 27 juillet 1853"" - Section Philologie meeting minutes",,
Progress Report on Popular Poetry Collection (1853),01/01/1853,1852-3_CLHAF_T1 (../Volumes%20(Primary%20Source%20Containers)%201eea8fa33dc580f98e0ec5a2126a3d51/1852-3_CLHAF_T1%201eea8fa33dc5809e84c6c1323814202b.md),Bulletin_CLHAF_1852-1853_TomePremier.pdf,,582-3,"600-601
",,,Chapter 1  (Chapter%201%201eea8fa33dc5806cb2dce30b2520afe2.md),Committee Progress Report (government administrative document),,,"Report detailing the Philology Section's progress on implementing the poetry collection decree of September 14, 1852. Documents Ampère's creation of specialized instructions with examples of popular poetry, described as ""a true work, as remarkable for its taste as for its knowledge."" The report also notes the successful classification of numerous regional submissions and expresses satisfaction with the enthusiastic nationwide response to the project.",,"Bulletin du Comité de la Langue, de l'Histoire et des Arts de la France, Tome Premier, 1852-1853, p. 583 (partial)","""NOUVELLES PUBLICATIONS ADOPTÉES PAR LE COMITÉ - SECTION DE PHILOLOGIE""",,
Borghese: pre-event notice,01/08/1867,,,,,,,,Chapter 4 (1867) (Chapter%204%20(1867)%201eea8fa33dc5814fa184d173a98f0d1b.md),,,,,,,,,
